cnpjCpfVencedor,codigo,descricao,numero,participanteVencedor,quantidade,unidadeMedida,valorTotalReferencia,valorTotalVencedor,valorUnitarioReferencia,valorUnitarioVencedor
04.989.294/0001-87,36292,"Cimento de hidróxido de cálcio - kit contendo: 01 tubo de pa",143,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",140,KIT,2725.8,3130.4,19.47,22.36
04.989.294/0001-87,36296,"Condensador de Gutapercha MacSpadden 21mm - Calibre 40 -Blis",149,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",15,CX,2051.7,465,136.78,31
04.989.294/0001-87,36297,"Condensador de Gutapercha MacSpadden 25mm - Calibre 40 -Blis",150,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",15,CX,2051.7,465,136.78,31
04.989.294/0001-87,36300,"Cone de guta percha MICROTIPPED tamanho FM, Extra longo, 34m",153,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",40,CX,1320,973.6,33,24.34
04.989.294/0001-87,31495,"Cone de guta percha, principal 30. Caixas com 120 cones",156,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",40,CX,1600,884,40,22.1
04.989.294/0001-87,34673,"Escova de Polimento MSHS78Ly - 2",179,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",25,UN,444.5,470,17.78,18.8
04.989.294/0001-87,36317,"Escova de Polimento MSHS78G -1",180,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",25,UN,444.5,132.75,17.78,5.31
04.989.294/0001-87,33096,"Evidenciador de placa  solucão",189,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",100,FR.,571,580,5.71,5.8
04.989.294/0001-87,31523,"Fita matriz metálica de 5mm. Rolo 5 metros",197,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",150,ROLO,216,2790,1.44,18.6
04.989.294/0001-87,31524,"Fita matriz metalica de 7mm. Rolo 5 metros",198,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",80,ROLO,104,1768,1.3,22.1
04.989.294/0001-87,36326,"Fita matriz poliéster transparente 10 X 120 X 0,05 mm. Embal",199,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",160,CX,216,451.2,1.35,2.82
04.989.294/0001-87,36331,"Hipoclorito de sódio a 1% - Solução de Milton. Litro",214,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",150,L,757.5,742.5,5.05,4.95
04.989.294/0001-87,29420,"Hipoclorito de sódio a 2,5% - soda clorada. Litro",215,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",100,L,515,609,5.15,6.09
04.989.294/0001-87,31539,"Ionômero de vidro R fotopolimerizavel",217,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",500,KIT,40990,38150,81.98,76.3
04.989.294/0001-87,26332,"LENÇOL DE BORRACHA PURO LÁTEX",225,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",280,UN,4382,4368,15.65,15.6
04.989.294/0001-87,33114,"Lima Flex-file nº 15 de 21 mm",229,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",30,CX,659.7,600,21.99,20
04.989.294/0001-87,31553,"Lima Flex-file nº 15 de 25 mm",230,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",40,CX,879.6,816,21.99,20.4
04.989.294/0001-87,10088,"Otosporin - suspensão - frasco 10ml",262,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",120,FR,1348.8,1344,11.24,11.2
04.989.294/0001-87,29460,"Oxido de zinco-eugenol, de presa rápida tipo IRM- KIT",263,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",110,KIT,1424.5,5995,12.95,54.5
04.989.294/0001-87,36363,"Revelador para RX .",291,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",100,FR.,1480,1090,14.8,10.9
04.989.294/0001-87,36368,"Spray congelante -50º para teste de vitalidade pulpar",297,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",50,FR.,874.5,1365,17.49,27.3
04.989.294/0001-87,31605,"Tira de lixa de aço",304,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",420,PCT,4200,2931.6,10,6.98
04.989.294/0001-87,31557,"Lima tipo K nº 10 de 31 mm",311,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",50,CX,1102,704,22.04,14.08
04.989.294/0001-87,36384,"Escova de Polimento MSHS78Y.",318,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",25,UN,673,131.25,26.92,5.25
04.989.294/0001-87,36386,"Escova de Polimento MSHS10G",320,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",25,UN,673,131.25,26.92,5.25
04.989.294/0001-87,36388,"Escova de Polimento MSH78WH-PR",322,"SILMES COMÉRCIO DE PRODUTOS ODONTOLÓGICOS LTDA ME",25,UN,673,260,26.92,10.4
01.648.513/0001-76,36257,"Álcool 70% - Litro.",79,"PKB PRODUTOS QUÍMICOS LTDA",1600,L,16992,5440,10.62,3.4
01.648.513/0001-76,36258,"Álcool 96% - Litro.",80,"PKB PRODUTOS QUÍMICOS LTDA",25,L,260.5,105,10.42,4.2
05.021.932/0001-34,33034,"Aparelho de profilaxia odontológica por bicarbonato/ultrasom",2,"MF DE ALMEIDA & CIA. LTDA",6,UN,10260,16740,1710,2790
05.021.932/0001-34,33035,"Autoclave 21L",6,"MF DE ALMEIDA & CIA. LTDA",10,UN,37540,36500,3754,3650
05.021.932/0001-34,26133,"CABO P/ ESPELHO ODONTOLOGICO",9,"MF DE ALMEIDA & CIA. LTDA",150,UNI,601.5,600,4.01,4
05.021.932/0001-34,111,"CANETA DE ALTA ROTACAO",10,"MF DE ALMEIDA & CIA. LTDA",20,UN,10828,8800,541.4,440
05.021.932/0001-34,27345,"Compressor odontológico em ferro fundido",13,"MF DE ALMEIDA & CIA. LTDA",8,UN,20864,24800,2608,3100
05.021.932/0001-34,7309,"CURETA GRACEY 5-6 - EM AÇO INOX",18,"MF DE ALMEIDA & CIA. LTDA",150,UN,3081,1780.5,20.54,11.87
05.021.932/0001-34,7306,"CURETA GRACEY 7-8 - EM AÇO INOX",19,"MF DE ALMEIDA & CIA. LTDA",50,UNI,1027,593.5,20.54,11.87
05.021.932/0001-34,7307,"CURETA GRACEY 11-12 - EM AÇO INOX",20,"MF DE ALMEIDA & CIA. LTDA",50,UNI,1027,593.5,20.54,11.87
05.021.932/0001-34,7308,"CURETA GRACEY 13-14 - EM AÇO INOX",21,"MF DE ALMEIDA & CIA. LTDA",50,UNI,1027,593.5,20.54,11.87
05.021.932/0001-34,3061,"ESPATULA DE INSERCAO",23,"MF DE ALMEIDA & CIA. LTDA",100,UN,950,823,9.5,8.23
05.021.932/0001-34,34180,"Fotopolimerizador sem fio com bateria removível",26,"MF DE ALMEIDA & CIA. LTDA",15,UNI,12474.75,9000,831.65,600
05.021.932/0001-34,34649,"Kit acadêmico com caneta de alta rotação, push button",37,"MF DE ALMEIDA & CIA. LTDA",10,CX,25420,13600,2542,1360
05.021.932/0001-34,33046,"Micromotor elétrico LB100",42,"MF DE ALMEIDA & CIA. LTDA",1,ESTO,983.72,580,983.72,580
05.021.932/0001-34,34650,"Motor Endonôntico",44,"MF DE ALMEIDA & CIA. LTDA",1,UNI,6480,7600,6480,7600
05.021.932/0001-34,36252,"Acrilico autopolimerizavel liquido .",72,"MF DE ALMEIDA & CIA. LTDA",6,FR.,260.16,214.5,43.36,35.75
05.021.932/0001-34,36253,"Acrilico autopolimerizavel po cor rosa.",73,"MF DE ALMEIDA & CIA. LTDA",6,POT,202.08,114,33.68,19
05.021.932/0001-34,36260,"Anestésico mepivacaína a 2% com epinefrina 1:100.000 - Caixa",86,"MF DE ALMEIDA & CIA. LTDA",700,CX,45283,109060,64.69,155.8
05.021.932/0001-34,34658,"Branco de Espanha.",91,"MF DE ALMEIDA & CIA. LTDA",4,POT,14.36,28,3.59,7
05.021.932/0001-34,31503,"Cunhas de madeira interdental anatômicas",167,"MF DE ALMEIDA & CIA. LTDA",80,CX,800,1120,10,14
05.021.932/0001-34,36309,"Dedal de borracha - amalgador",168,"MF DE ALMEIDA & CIA. LTDA",6,UN,11.46,11.46,1.91,1.91
05.021.932/0001-34,31571,"Óculos de proteção de plástico",258,"MF DE ALMEIDA & CIA. LTDA",100,UNI,491,491,4.91,4.91
01.470.743/0001-98,27324,"Tesoura cirúrgica Iris",68,"BLUMEDICA PRODUTOS MEDICOS E CIRURGICOS LTDA",80,UN,2291.2,1279.2,28.64,15.99
01.470.743/0001-98,31454,"Tesoura cirúrgica Mayo reta",69,"BLUMEDICA PRODUTOS MEDICOS E CIRURGICOS LTDA",20,UNI,597.2,540.2,29.86,27.01
01.470.743/0001-98,31611,"Compressas de Gaze Hidrófila, 100% Algodão 7,5 x 7,5, com 9(",148,"BLUMEDICA PRODUTOS MEDICOS E CIRURGICOS LTDA",1800,PCT,18468,31266,10.26,17.37
01.470.743/0001-98,10070,"Gorros descartáveis tipo touca com elástico",209,"BLUMEDICA PRODUTOS MEDICOS E CIRURGICOS LTDA",350,PCT,3832.5,2233,10.95,6.38
01.470.743/0001-98,26317,"HASTE FLEXÍVEL EM ALGODÃO",211,"BLUMEDICA PRODUTOS MEDICOS E CIRURGICOS LTDA",150,CX,253.5,300,1.69,2
01.470.743/0001-98,36338,"Luva de Látex tamanho P. Caixa c/ 100 unidades",246,"BLUMEDICA PRODUTOS MEDICOS E CIRURGICOS LTDA",1300,CX,22035,23010,16.95,17.7
01.470.743/0001-98,36341,"Luva cirurgica Látex, esterelizada, tamanho 6,5",251,"BLUMEDICA PRODUTOS MEDICOS E CIRURGICOS LTDA",1500,PCT,1485,1485,0.99,0.99
01.470.743/0001-98,36342,"Luva cirurgica Látex, esterelizada, tamanho 8,0",252,"BLUMEDICA PRODUTOS MEDICOS E CIRURGICOS LTDA",1650,PCT,1633.5,1633.5,0.99,0.99
01.470.743/0001-98,36346,"Máscara cirúrgica facial N95",257,"BLUMEDICA PRODUTOS MEDICOS E CIRURGICOS LTDA",80,CX,4468.8,3888,55.86,48.6
01.470.743/0001-98,33128,"Papel grau cirúrgico; medindo 10 cm x 100m",267,"BLUMEDICA PRODUTOS MEDICOS E CIRURGICOS LTDA",230,BO,7590,8158.1,33,35.47
01.470.743/0001-98,32,"SERINGA DESCARTAVEL 10 ML",296,"BLUMEDICA PRODUTOS MEDICOS E CIRURGICOS LTDA",20,UN,705.8,531.8,35.29,26.59
01.470.743/0001-98,36393,"Pinça Hemostática kelly curva com 14cm",328,"BLUMEDICA PRODUTOS MEDICOS E CIRURGICOS LTDA",10,UN,477,223.3,47.7,22.33
01.470.743/0001-98,36394,"Pinça Mosquito 12cm",329,"BLUMEDICA PRODUTOS MEDICOS E CIRURGICOS LTDA",10,UN,400,195.7,40,19.57
01.470.743/0001-98,36396,"Pinça Hemostática kelly curva com 16cm",331,"BLUMEDICA PRODUTOS MEDICOS E CIRURGICOS LTDA",10,UN,477,264.6,47.7,26.46
27.105.456/0001-72,36295,"Clorhexidina 2% - frasco com 100ml.",147,"MEDICENTRO COMERCIO DE MEDICAMENTOS LTDA",120,FR.,2398.8,538.8,19.99,4.49
27.105.456/0001-72,36336,"Lâmina de bisturi nº 12, em aço inox. caixa com 100 un",223,"MEDICENTRO COMERCIO DE MEDICAMENTOS LTDA",10,CX,237.5,234.3,23.75,23.43
27.105.456/0001-72,36337,"Lâmina de bisturi nº 15, em aço inox.caixa com 100 und",224,"MEDICENTRO COMERCIO DE MEDICAMENTOS LTDA",20,CX,490,461.4,24.5,23.07
27.105.456/0001-72,1013988,"MÁSCARA FACIAL DESCARTÁVEL",256,"MEDICENTRO COMERCIO DE MEDICAMENTOS LTDA",1000,CX,12770,5300,12.77,5.3
27.105.456/0001-72,33072,"Coletor de material perfuro cortante",324,"MEDICENTRO COMERCIO DE MEDICAMENTOS LTDA",60,CX,931.2,1198.8,15.52,19.98
21.504.525/0001-34,36250,"Seladora odontológica.",70,"DENTAL PRIME - PRODUTOS ODONTOLOGICOS MEDICOS HOSPITALARES - EIRELI",15,UNI,3642.6,8400,242.84,560
21.504.525/0001-34,36330,"Guardanapo 30 x 30cm, cor branca, não reciclado, folha dupla",210,"DENTAL PRIME - PRODUTOS ODONTOLOGICOS MEDICOS HOSPITALARES - EIRELI",2500,PCT,3625,9750,1.45,3.9
21.504.525/0001-34,36335,"Kit odontológico de higiene dental.",336,"DENTAL PRIME - PRODUTOS ODONTOLOGICOS MEDICOS HOSPITALARES - EIRELI",15000,KIT,89100,79500,5.94,5.3
11.768.299/0001-45,36325,"Fio dental bucal.",195,"COMEPI PRODUTOS COMERCIAIS LTDA",80,UN,576,564,7.2,7.05
11.768.299/0001-45,36334,"Kit odontológico de higiene dental infantil - KIT",220,"COMEPI PRODUTOS COMERCIAIS LTDA",8000,KIT,47520,36800,5.94,4.6
11.768.299/0001-45,36335,"Kit odontológico de higiene dental.",221,"COMEPI PRODUTOS COMERCIAIS LTDA",5000,KIT,29700,26700,5.94,5.34
